Timestamp,User,IP,Action,Threat,Source,Severity,Classification,Recommended Response
2025-07-03 04:18:14,bob,198.51.100.42,login success,,Elastic (filestream.generic),Informational,Authentication Success,Monitor for follow-up suspicious behavior
2025-07-03 04:19:14,alice,198.51.100.42,malware detected (Rootkit Signature),Rootkit Signature,Elastic+Splunk Correlation,Critical,Confirmed Malware Incident,"Isolate host, preserve forensic image, notify incident response team, initiate containment and remediation"
2025-07-03 04:19:14,david,10.0.0.5,connection attempt,,Elastic (filestream.generic),Medium,Suspicious Network Activity,"Investigate source/destination IPs, check lateral movement"
2025-07-03 04:19:14,alice,198.51.100.42,malware detected,Rootkit Signature,Elastic (filestream.generic),High,Malware Detection,"Isolate host, run AV scan, collect forensic artifacts, block IP"
2025-07-03 04:23:14,bob,172.16.0.3,login failed,,Elastic (filestream.generic),Medium,Authentication Failure,"Investigate failed attempts, check for brute-force, consider password reset"
2025-07-03 04:23:14,charlie,198.51.100.42,login failed,,Elastic (filestream.generic),Medium,Authentication Failure,"Investigate failed attempts, check for brute-force, consider password reset"
2025-07-03 04:27:14,david,172.16.0.3,connection attempt,,Elastic (filestream.generic),Medium,Suspicious Network Activity,"Investigate source/destination IPs, check lateral movement"
2025-07-03 04:29:14,alice,192.168.1.101,malware detected (Trojan Detected),Trojan Detected,Elastic+Splunk Correlation,Critical,Confirmed Malware Incident,"Isolate host, preserve forensic image, notify incident response team, initiate containment and remediation"
2025-07-03 04:29:14,alice,192.168.1.101,malware detected,Trojan Detected,Elastic (filestream.generic),High,Malware Detection,"Isolate host, run AV scan, collect forensic artifacts, block IP"
2025-07-03 04:41:14,alice,172.16.0.3,malware detected,Spyware Alert,Elastic (filestream.generic),High,Malware Detection,"Isolate host, run AV scan, collect forensic artifacts, block IP"
2025-07-03 04:41:14,alice,172.16.0.3,malware detected (Spyware Alert),Spyware Alert,Elastic+Splunk Correlation,Critical,Confirmed Malware Incident,"Isolate host, preserve forensic image, notify incident response team, initiate containment and remediation"
2025-07-03 04:46:14,david,203.0.113.77,login success,,Elastic (filestream.generic),Informational,Authentication Success,Monitor for follow-up suspicious behavior
2025-07-03 04:47:14,bob,10.0.0.5,login failed,,Elastic (filestream.generic),Medium,Authentication Failure,"Investigate failed attempts, check for brute-force, consider password reset"
2025-07-03 04:53:14,alice,203.0.113.77,file accessed,,Elastic (filestream.generic),Low,File Access,Review file context; verify user intent and file integrity
2025-07-03 04:53:14,david,203.0.113.77,login success,,Elastic (filestream.generic),Informational,Authentication Success,Monitor for follow-up suspicious behavior
2025-07-03 05:04:14,bob,192.168.1.101,login success,,Elastic (filestream.generic),Informational,Authentication Success,Monitor for follow-up suspicious behavior
2025-07-03 05:06:14,bob,203.0.113.77,malware detected (Worm Infection Attempt),Worm Infection Attempt,Elastic+Splunk Correlation,Critical,Confirmed Malware Incident,"Isolate host, preserve forensic image, notify incident response team, initiate containment and remediation"
2025-07-03 05:06:14,bob,203.0.113.77,malware detected,Worm Infection Attempt,Elastic (filestream.generic),High,Malware Detection,"Isolate host, run AV scan, collect forensic artifacts, block IP"
2025-07-03 05:12:14,alice,198.51.100.42,login success,,Elastic (filestream.generic),Informational,Authentication Success,Monitor for follow-up suspicious behavior
2025-07-03 05:18:14,charlie,172.16.0.3,login success,,Elastic (filestream.generic),Informational,Authentication Success,Monitor for follow-up suspicious behavior
2025-07-03 05:27:14,david,203.0.113.77,connection attempt,,Elastic (filestream.generic),Medium,Suspicious Network Activity,"Investigate source/destination IPs, check lateral movement"
2025-07-03 05:30:14,eve,192.168.1.101,malware detected (Trojan Detected),Trojan Detected,Elastic+Splunk Correlation,Critical,Confirmed Malware Incident,"Isolate host, preserve forensic image, notify incident response team, initiate containment and remediation"
2025-07-03 05:30:14,eve,192.168.1.101,malware detected,Trojan Detected,Elastic (filestream.generic),High,Malware Detection,"Isolate host, run AV scan, collect forensic artifacts, block IP"
2025-07-03 05:33:14,david,198.51.100.42,file accessed,,Elastic (filestream.generic),Low,File Access,Review file context; verify user intent and file integrity
2025-07-03 05:42:14,eve,203.0.113.77,malware detected (Trojan Detected),Trojan Detected,Elastic+Splunk Correlation,Critical,Confirmed Malware Incident,"Isolate host, preserve forensic image, notify incident response team, initiate containment and remediation"
2025-07-03 05:42:14,eve,203.0.113.77,malware detected,Trojan Detected,Elastic (filestream.generic),High,Malware Detection,"Isolate host, run AV scan, collect forensic artifacts, block IP"
2025-07-03 05:44:14,bob,198.51.100.42,file accessed,,Elastic (filestream.generic),Low,File Access,Review file context; verify user intent and file integrity
2025-07-03 05:45:14,david,172.16.0.3,malware detected,Trojan Detected,Elastic (filestream.generic),High,Malware Detection,"Isolate host, run AV scan, collect forensic artifacts, block IP"
2025-07-03 05:45:14,david,172.16.0.3,malware detected (Trojan Detected),Trojan Detected,Elastic+Splunk Correlation,Critical,Confirmed Malware Incident,"Isolate host, preserve forensic image, notify incident response team, initiate containment and remediation"
2025-07-03 05:48:14,bob,10.0.0.5,malware detected (Trojan Detected),Trojan Detected,Elastic+Splunk Correlation,Critical,Confirmed Malware Incident,"Isolate host, preserve forensic image, notify incident response team, initiate containment and remediation"
2025-07-03 05:48:14,bob,10.0.0.5,malware detected,Trojan Detected,Elastic (filestream.generic),High,Malware Detection,"Isolate host, run AV scan, collect forensic artifacts, block IP"
2025-07-03 05:49:14,charlie,192.168.1.101,connection attempt,,Elastic (filestream.generic),Medium,Suspicious Network Activity,"Investigate source/destination IPs, check lateral movement"
2025-07-03 06:01:14,bob,172.16.0.3,file accessed,,Elastic (filestream.generic),Low,File Access,Review file context; verify user intent and file integrity
2025-07-03 06:10:14,david,203.0.113.77,file accessed,,Elastic (filestream.generic),Low,File Access,Review file context; verify user intent and file integrity
2025-07-03 06:13:14,charlie,10.0.0.5,connection attempt,,Elastic (filestream.generic),Medium,Suspicious Network Activity,"Investigate source/destination IPs, check lateral movement"
2025-07-03 06:21:14,alice,203.0.113.77,login success,,Elastic (filestream.generic),Informational,Authentication Success,Monitor for follow-up suspicious behavior
2025-07-03 07:02:14,alice,203.0.113.77,login failed,,Elastic (filestream.generic),Medium,Authentication Failure,"Investigate failed attempts, check for brute-force, consider password reset"
2025-07-03 07:18:14,bob,203.0.113.77,file accessed,,Elastic (filestream.generic),Low,File Access,Review file context; verify user intent and file integrity
2025-07-03 07:22:14,charlie,192.168.1.101,connection attempt,,Elastic (filestream.generic),Medium,Suspicious Network Activity,"Investigate source/destination IPs, check lateral movement"
2025-07-03 07:36:14,david,10.0.0.5,connection attempt,,Elastic (filestream.generic),Medium,Suspicious Network Activity,"Investigate source/destination IPs, check lateral movement"
2025-07-03 07:38:14,charlie,172.16.0.3,connection attempt,,Elastic (filestream.generic),Medium,Suspicious Network Activity,"Investigate source/destination IPs, check lateral movement"
2025-07-03 07:44:14,bob,192.168.1.101,connection attempt,,Elastic (filestream.generic),Medium,Suspicious Network Activity,"Investigate source/destination IPs, check lateral movement"
2025-07-03 07:44:14,bob,203.0.113.77,connection attempt,,Elastic (filestream.generic),Medium,Suspicious Network Activity,"Investigate source/destination IPs, check lateral movement"
2025-07-03 07:45:14,charlie,172.16.0.3,malware detected (Trojan Detected),Trojan Detected,Elastic+Splunk Correlation,Critical,Confirmed Malware Incident,"Isolate host, preserve forensic image, notify incident response team, initiate containment and remediation"
2025-07-03 07:45:14,charlie,172.16.0.3,malware detected,Trojan Detected,Elastic (filestream.generic),High,Malware Detection,"Isolate host, run AV scan, collect forensic artifacts, block IP"
2025-07-03 07:46:14,bob,10.0.0.5,login success,,Elastic (filestream.generic),Informational,Authentication Success,Monitor for follow-up suspicious behavior
2025-07-03 07:51:14,eve,10.0.0.5,malware detected (Rootkit Signature),Rootkit Signature,Elastic+Splunk Correlation,Critical,Confirmed Malware Incident,"Isolate host, preserve forensic image, notify incident response team, initiate containment and remediation"
2025-07-03 07:51:14,eve,10.0.0.5,malware detected,Rootkit Signature,Elastic (filestream.generic),High,Malware Detection,"Isolate host, run AV scan, collect forensic artifacts, block IP"
2025-07-03 07:57:14,david,10.0.0.5,file accessed,,Elastic (filestream.generic),Low,File Access,Review file context; verify user intent and file integrity
2025-07-03 08:00:14,alice,198.51.100.42,login success,,Elastic (filestream.generic),Informational,Authentication Success,Monitor for follow-up suspicious behavior
2025-07-03 08:20:14,charlie,192.168.1.101,connection attempt,,Elastic (filestream.generic),Medium,Suspicious Network Activity,"Investigate source/destination IPs, check lateral movement"
2025-07-03 08:21:14,david,172.16.0.3,connection attempt,,Elastic (filestream.generic),Medium,Suspicious Network Activity,"Investigate source/destination IPs, check lateral movement"
2025-07-03 08:30:14,eve,172.16.0.3,login success,,Elastic (filestream.generic),Informational,Authentication Success,Monitor for follow-up suspicious behavior
2025-07-03 08:31:14,eve,203.0.113.77,file accessed,,Elastic (filestream.generic),Low,File Access,Review file context; verify user intent and file integrity
2025-07-03 08:42:14,eve,172.16.0.3,file accessed,,Elastic (filestream.generic),Low,File Access,Review file context; verify user intent and file integrity
2025-07-03 08:42:14,charlie,203.0.113.77,file accessed,,Elastic (filestream.generic),Low,File Access,Review file context; verify user intent and file integrity
2025-07-03 09:00:00,alice,203.0.113.77,Impossible travel detected (alice logged in from distant IPs within short time),,Splunk (UEBA),High,Anomalous Login - Impossible Travel,"Verify user activity with user, require MFA re-authentication, review logs"
2025-07-03 09:02:14,david,203.0.113.77,login failed,,Elastic (filestream.generic),Medium,Authentication Failure,"Investigate failed attempts, check for brute-force, consider password reset"
2025-07-03 09:07:14,eve,203.0.113.77,login success,,Elastic (filestream.generic),Informational,Authentication Success,Monitor for follow-up suspicious behavior
2025-07-03 09:10:14,bob,172.16.0.3,malware detected (Ransomware Behavior),Ransomware Behavior,Elastic+Splunk Correlation,Critical,Confirmed Malware Incident,"Isolate host, preserve forensic image, notify incident response team, initiate containment and remediation"
2025-07-03 09:10:14,bob,198.51.100.42,file accessed,,Elastic (filestream.generic),Low,File Access,Review file context; verify user intent and file integrity
2025-07-03 09:10:14,bob,172.16.0.3,malware detected,Ransomware Behavior,Elastic (filestream.generic),High,Malware Detection,"Isolate host, run AV scan, collect forensic artifacts, block IP"
2025-07-03 09:15:00,bob,10.0.0.5,Suspicious PowerShell command execution detected,Scripted Execution,Splunk (Endpoint),High,Endpoint Threat,"Quarantine host, capture process tree, run AV scan"
2025-07-03 09:30:00,david,172.16.0.3,Unusual outbound connection to known C2 IP 198.51.100.42,C2 Communication,Splunk (Network),Critical,Command and Control,"Block IP, isolate affected host, start IR playbook"
,charlie,192.168.1.101,3 connection attempts,,Splunk (inferred),Medium,Potential Lateral Movement,"Investigate host processes, network flows, and block suspicious destinations"
,,203.0.113.77,multiple failed logins from 203.0.113.77 targeting multiple users,,Splunk (inferred),High,Password Spray / Brute Force,"Block IP at firewall, force password resets for affected accounts, monitor authentication logs"
